RCDTS,school_name,district,city,county,school_type,enrollment,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,pp_expenditure,zip,address_longitude,address_latitude,school_short_name,school_long_name,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,school_name_right
15016299025019C,Legal Prep Academy Charter HS,Chicago Public Schools District 299,Chicago,Cook,High School,209,6.0,19.2,83.2,76.2,*,*,*,,60624,-87.733778,41.881733,LEGAL PREP HS,Legal Prep Charter Academy,4319 W WASHINGTON Blvd,false,"126, 20, 53","Blue,Green","",81.0,778,85.6,75.7,65.2,31.4,78.1,173,171,38,169,4,0,0,0,There are 173 students enrolled at LEGAL PREP HS.  98.8% are Low Income Students.  22% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at LEGAL PREP HS is Black.  This demographic makes up 97.7% of the student population.  The second greatest demographic is Hispanic at 2.3%.,,,false,false,2025,VERY WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60624,2,3,1,Legal Prep Academy Charter HS
,,,,,,,,,,,,,,,,-87.730467,41.809171,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD,4248 W 47TH St,false,"47, 53A",Orange,"",92.3,845,85.6,95.5,65.2,59.1,85.4,617,546,114,3,601,8,1,1,There are 617 students enrolled at ACERO - GARCIA HS.  88.5% are Low Income Students.  18.5% are Diverse Learners.  54.9% are Limited English Learners.,The largest demographic at ACERO - GARCIA HS is Hispanic.  This demographic makes up 97.4% of the student population.  The second greatest demographic is White at 1.3%.,true,,false,false,2025,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60632,1,2,1,""
15016299025010C,Urban Prep Chtr Acad Englewood HS,Chicago Public Schools District 299,Chicago,Cook,High School,83,2.2,30.0,100.0,33.0,*,*,*,,60621,-87.634357,41.781498,URBAN PREP - ENGLEWOOD HS,Urban Prep Academy for Young Men - Englewood,6201 S STEWART Ave,false,"24, 29, 59, 63","Green, Red","",83.8,792,85.6,78.2,65.2,62.5,91.6,78,61,24,76,1,0,0,0,There are 78 students enrolled at URBAN PREP - ENGLEWOOD HS.  78.2% are Low Income Students.  30.8% are Diverse Learners.  5.1% are Limited English Learners.,The largest demographic at URBAN PREP - ENGLEWOOD HS is Black.  This demographic makes up 97.4% of the student population.  The second greatest demographic is Hispanic at 1.3%.,,,false,false,2025,VERY WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60621,2,4,1,Urban Prep Chtr Acad Englewood HS
,,,,,,,,,,,,,,,,-87.598114,41.77813,U OF C - WOODLAWN HS,University of Chicago - Woodlawn,6300 S UNIVERSITY Ave,false,"4, 59, 63, 67, N5",Green,"",92.2,827,85.6,86.7,65.2,78.3,88.0,616,427,84,601,11,0,0,1,There are 616 students enrolled at U OF C - WOODLAWN HS.  69.3% are Low Income Students.  13.6% are Diverse Learners.  1.8% are Limited English Learners.,The largest demographic at U OF C - WOODLAWN HS is Black.  This demographic makes up 97.6% of the student population.  The second greatest demographic is Hispanic at 1.8%.,,,false,false,2025,VERY WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60637,1,5,1,""
15016299025053C,Perspectives Chtr -  IIT Campus,Chicago Public Schools District 299,Chicago,Cook,High School,398,,,,71.6,20.6,*,16.9,,60653,-87.624788,41.827784,PERSPECTIVES - MATH & SCI HS,Perspectives - Math and Science Academy,3663 S WABASH Ave,false,"1, 24, 29, 3, 31, 35, 39, 4","Green, Red","",76.7,761,85.6,69.9,65.2,46.6,81.1,408,400,70,393,8,2,0,1,There are 408 students enrolled at PERSPECTIVES - MATH & SCI HS.  98% are Low Income Students.  17.2% are Diverse Learners.  0.5% are Limited English Learners.,The largest demographic at PERSPECTIVES - MATH & SCI HS is Black.  This demographic makes up 96.3% of the student population.  The second greatest demographic is Hispanic at 2%.,true,,false,false,2025,VERY WEAK,Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60653,2,8,1,Perspectives Chtr -  IIT Campus
15016299025051C,Perspectives Chtr - Leadership Acad,Chicago Public Schools District 299,Chicago,Cook,High School,805,,,,73.8,20.7,*,10.2,,60620,-87.652045,41.745961,PERSPECTIVES - LEADERSHIP HS,Perspectives - Leadership Academy,8522 S LAFAYETTE Ave,false,"44, 79, 8A",Red,"",81.7,798,85.6,79.6,65.2,42.5,84.5,739,697,104,722,12,0,0,2,There are 739 students enrolled at PERSPECTIVES - LEADERSHIP HS.  94.3% are Low Income Students.  14.1% are Diverse Learners.  0.3% are Limited English Learners.,The largest demographic at PERSPECTIVES - LEADERSHIP HS is Black.  This demographic makes up 97.7% of the student population.  The second greatest demographic is Hispanic at 1.6%.,false,,false,false,2025,VERY WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60620,1,3,1,Perspectives Chtr - Leadership Acad
15016299025052C,Perspectives Chtr - High School of Technology,Chicago Public Schools District 299,Chicago,Cook,High School,306,,,,72.3,22.5,*,15.0,,60620,-87.650657,41.745949,PERSPECTIVES - TECH HS,Perspectives - High School of Technology,8522 S LAFAYETTE Ave,false,"169, 44, 79, 8, 8A","Green,Red","",73.3,777,85.6,68.4,65.2,44.1,81.5,305,288,49,294,8,0,0,2,There are 305 students enrolled at PERSPECTIVES - TECH HS.  94.4% are Low Income Students.  16.1% are Diverse Learners.  0.3% are Limited English Learners.,The largest demographic at PERSPECTIVES - TECH HS is Black.  This demographic makes up 96.4% of the student population.  The second greatest demographic is Hispanic at 2.6%.,true,,false,false,2025,VERY WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60620,2,5,1,Perspectives Chtr - High School of Technology
15016299025050C,Perspectives Chtr - Joslin Campus,Chicago Public Schools District 299,Chicago,Cook,High School,307,,,,75.2,23.2,9.2,16.0,,60616,-87.628531,41.855999,PERSPECTIVES - JOSLIN HS,Perspectives - Rodney D. Joslin,1930 S ARCHER Ave,false,"1, 12, 21, 24, 29, 3, 4, 62","Green, Orange, Red","",91.0,775,85.6,86.5,65.2,44.8,89.6,298,282,51,284,11,1,0,0,There are 298 students enrolled at PERSPECTIVES - JOSLIN HS.  94.6% are Low Income Students.  17.1% are Diverse Learners.  1.3% are Limited English Learners.,The largest demographic at PERSPECTIVES - JOSLIN HS is Black.  This demographic makes up 95.3% of the student population.  The second greatest demographic is Hispanic at 3.7%.,true,false,false,false,2025,VERY WEAK,Moderately Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60616,3,8,1,Perspectives Chtr - Joslin Campus
,,,,,,,,,,,,,,,,-87.655768,41.721221,CICS - LONGWOOD,CICS - Longwood,1309 W 95TH St,false,"112, 9, 95, N9, X9",Red,Rock Island District (RI),76.0,803,85.6,60.8,65.2,37.1,88.2,1104,946,191,1066,28,1,0,1,There are 1104 students enrolled at CICS - LONGWOOD.  85.7% are Low Income Students.  17.3% are Diverse Learners.  0.8% are Limited English Learners.,The largest demographic at CICS - LONGWOOD is Black.  This demographic makes up 96.6% of the student population.  The second greatest demographic is Hispanic at 2.5%.,true,,false,false,2025,VERY WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60643,1,5,1,""
15016299025082C,CICS - Northtown  Campus,Chicago Public Schools District 299,Chicago,Cook,High School,872,9.5,4.1,46.9,39.1,34.0,17.7,28.2,,60659,-87.726504,41.990245,CICS - NORTHTOWN HS,CICS - Northtown,3900 W PETERSON Ave,false,"53, 84","Blue,Red","",95.1,904,85.6,91.3,65.2,71.7,87.0,876,641,183,85,484,112,179,2,There are 876 students enrolled at CICS - NORTHTOWN HS.  73.2% are Low Income Students.  20.9% are Diverse Learners.  48.6% are Limited English Learners.,The largest demographic at CICS - NORTHTOWN HS is Hispanic.  This demographic makes up 55.3% of the student population.  The second greatest demographic is Asian at 20.4%.,true,,false,false,2025,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60659,2,2,1,CICS - Northtown  Campus
