school_name,district,city,county,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year,zip,address_longitude,address_latitude,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,year_right,school_name_right,neighborhood
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,495.0,24.5,,,,,80.3,4.0,8.0,13.6,2022.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,446.0,23.3,,,,,73.5,3.2,4.5,14.3,2023.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Farragut Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,490.0,24.8,12.2,12.2,42.2,,84.6,*,*,15.8,2024.0,60623.0,-87.708706,41.84856,2345 S CHRISTIANA Ave,No,,Pink,,77.6,814.0,85.6,70.4,65.2,82.4,70.4,391.0,371.0,98.0,56.0,330.0,2.0,0.0,1.0,There are 391 students enrolled at FARRAGUT HS.  94.9% are Low Income Students.  25.1% are Diverse Learners.  46.3% are Limited English Learners.,The largest demographic at FARRAGUT HS is Hispanic.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Black at 14.3%.,,,No,No,2025.0,VERY WEAK,Not Yet Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60623.0,Yes,4.0,Yes,2025.0,Farragut Career Academy HS,Little Village
Fenger Academy High School,Chicago Public Schools District 299,Chicago,Cook,201.0,24.8,13.9,,33.0,,82.0,*,*,*,2025.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,203.0,,,,,,79.1,1.9,0.0,0.0,2019.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,261.0,,,,,,45.9,,,,2020.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,284.0,31.4,,,,,78.0,1.6,1.6,0.0,2021.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,237.0,22.8,,,,,84.2,4.5,0.9,7.2,2022.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,234.0,24.9,,,,,77.7,0.0,0.0,7.0,2023.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
Fenger Academy High School,Chicago Public Schools District 299,Chicago,Cook,203.0,18.9,12.4,4.4,68.9,,77.7,*,*,*,2024.0,60628.0,-87.637572,41.689951,11220 S WALLACE St,No,,"Blue,Brown",,58.1,783.0,85.6,70.3,65.2,59.5,76.3,176.0,119.0,39.0,164.0,7.0,3.0,0.0,1.0,There are 176 students enrolled at FENGER HS.  67.6% are Low Income Students.  22.2% are Diverse Learners.  1.7% are Limited English Learners.,The largest demographic at FENGER HS is Black.  This demographic makes up 93.2% of the student population.  The second greatest demographic is Hispanic at 4%.,,,No,No,2025.0,VERY WEAK,Partially Organized,School Year 2024-2025,Intensive Support,Inability to Rate,60628.0,,4.0,Yes,2025.0,Fenger Academy High School,Roseland
